source_file,survey_folder,file_name,variable_name,variable_label,family,possible_use,recommended_role
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Women.sav,НҮТС-2013,Women.sav,windex5,Wealth index quintiles,wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/Cluster mn.sav,НҮТС-2018,Cluster mn.sav,AimagCityCode,,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/7. Child under 5.sav,НҮТС-2018,7. Child under 5.sav,chweight,5 хүртэлх насны хүүхдийн түүврийн жин,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/7. Child under 5.sav,НҮТС-2018,7. Child under 5.sav,chweight_prov,5 хүртэлх насны хүүхдийн түүврийн жин (зорилтот аймаг/дүүргийн),demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/8. Child age 5-17.sav,НҮТС-2018,8. Child age 5-17.sav,fshweight,Children 5-17's household sample weight,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/8. Child age 5-17.sav,НҮТС-2018,8. Child age 5-17.sav,fshweight_prov,Children 5-17's household sample weight - target provinces and districts,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/8. Child age 5-17.sav,НҮТС-2018,8. Child age 5-17.sav,fsweight,Children 5-17's sample weight,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/8. Child age 5-17.sav,НҮТС-2018,8. Child age 5-17.sav,fsweight_prov,Children 5-17's sample weight - target provinces and districts,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/3. Men.sav,НҮТС-2018,3. Men.sav,mnweight,15-49 насны эрэгтэйчүүдийн түүврийн жин,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/3. Men.sav,НҮТС-2018,3. Men.sav,mnweight_prov,15-49 насны эрэгтэйчүүдийн түүврийн жин (зорилтот аймаг/дүүргийн),demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/4. Women.sav,НҮТС-2018,4. Women.sav,wmweight,15-49 насны эмэгтэйчүүдийн түүврийн жин,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/4. Women.sav,НҮТС-2018,4. Women.sav,wmweight_prov,15-49 насны эмэгтэйчүүдийн түүврийн жин (зорилтот аймаг/дүүргийн),demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/1. Household.sav,НҮТС-2018,1. Household.sav,hhweight,Өрхийн түүврийн жин,wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/2. Household List.sav,НҮТС-2018,2. Household List.sav,hhweight,Өрхийн түүврийн жин,wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/1. Household.sav,НҮТС-2018,1. Household.sav,hhweight_prov,Өрхийн түүврийн жин (зорилтот аймаг/дүүргийн),wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/2. Household List.sav,НҮТС-2018,2. Household List.sav,hhweight_prov,Өрхийн түүврийн жин (зорилтот аймаг/дүүргийн),wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/8. Child age 5-17.sav,НҮТС-2018,8. Child age 5-17.sav,windex5,Wealth index quintile,wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/8. Child age 5-17.sav,НҮТС-2018,8. Child age 5-17.sav,windex5r,Rural wealth index quintile,wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/8. Child age 5-17.sav,НҮТС-2018,8. Child age 5-17.sav,windex5u,Urban wealth index quintile,wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/1. Household.sav,НҮТС-2018,1. Household.sav,wqhweight,Усны чанарын түүврийн жин,wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/1. Household.sav,НҮТС-2018,1. Household.sav,wqhweight_prov,Усны чанарын түүврийн жин (зорилтот аймаг/дүүргийн),wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/1. Household.sav,НҮТС-2018,1. Household.sav,wqsweight,Ундны усны эх үүсвэрийн  түүврийн жин (зорилтот аймаг/дүүргийн),wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/1. Household.sav,НҮТС-2018,1. Household.sav,wqsweight_prov,Ундны усны эх үүсвэрийн  түүврийн жин,wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/8. Child age 5-17.sav,НҮТС-2018,8. Child age 5-17.sav,wscore,Combined wealth score,wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/8. Child age 5-17.sav,НҮТС-2018,8. Child age 5-17.sav,wscorer,Rural wealth score,wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2018/8. Child age 5-17.sav,НҮТС-2018,8. Child age 5-17.sav,wscoreu,Urban wealth score,wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2023/ch - MN.sav,НҮТС-2023,ch - MN.sav,chweight,5 хүртэлх насны хүүхдийн түүврийн жин,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2023/fs - MN.sav,НҮТС-2023,fs - MN.sav,fsweight,5-17 настай хүүхдийн түүврийн жин,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2023/wm - MN.sav,НҮТС-2023,wm - MN.sav,wmweight,15-49 насны эмэгтэйчүүдийн түүврийн жин,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2023/ftu - MN.sav,НҮТС-2023,ftu - MN.sav,fshweight,Үйлдлийн чадварын хүндрэлтэй эсэх (5-17 нас),parents_family,Check whether parental education/family background patterns can validate HSES parent_educ_mean story.,descriptive validation only
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2023/hh - MN.sav,НҮТС-2023,hh - MN.sav,WS11DC,Excreta release events from water source: Containment collapsed,wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2023/hh - MN.sav,НҮТС-2023,hh - MN.sav,WS11DD,Excreta release events from water source: Other event,wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2023/fs - MN.sav,НҮТС-2023,fs - MN.sav,fshweight,5-17 настай хүүхдийн өрхийн түүврийн жин,wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2023/hh - MN.sav,НҮТС-2023,hh - MN.sav,hhweight,Өрхийн түүврийн жин,wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2023/hh - MN.sav,НҮТС-2023,hh - MN.sav,wqhweight,Усны чанарын түүврийн жин,wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2023/hh - MN.sav,НҮТС-2023,hh - MN.sav,wqsweight,Ундны усны эх үүсвэрийн  түүврийн жин,wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
