iv_name,iv_var,fe_design,pi_hat,pi_p,F_first,N,expected_sign,sign_ok,verdict,notes
student teacher ratio at age 12,student_teacher_ratio_at_12,birth_aimag + birth_cohort + wave,0.047559731501443464,0.0039947563209224626,10.446165874689122,5641,negative,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
student teacher ratio at age 12,student_teacher_ratio_at_12,birth_aimag + birth_year + wave,0.03779397757983849,0.01650665812996842,6.7899485732197284,5641,negative,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
student teacher ratio at age 12,student_teacher_ratio_at_12,birth_aimag + wave,0.04599642922023138,0.0015217450393009804,13.268889616672928,5641,negative,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
student teacher ratio at age 12,student_teacher_ratio_at_12,region + wave,0.05177873879911094,0.002558226586411928,11.714583729881157,5641,negative,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
student teacher ratio at age 15,student_teacher_ratio_at_15,birth_aimag + birth_cohort + wave,0.023768056727284024,0.0377912511648641,4.915168311561801,7862,negative,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
student teacher ratio at age 15,student_teacher_ratio_at_15,birth_aimag + birth_year + wave,0.02953218904447655,0.001021930580123129,14.517396271025559,7862,negative,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
student teacher ratio at age 15,student_teacher_ratio_at_15,birth_aimag + wave,0.02426029264656684,0.035105521009168875,5.074301864789285,7862,negative,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
student teacher ratio at age 15,student_teacher_ratio_at_15,region + wave,0.029185665966069505,0.009565265509485329,8.12876414947339,7862,negative,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
student teacher ratio at age 17,student_teacher_ratio_at_17,birth_aimag + birth_cohort + wave,0.013811369579730313,0.17638068161000686,1.9574770111659885,9077,negative,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
student teacher ratio at age 17,student_teacher_ratio_at_17,birth_aimag + birth_year + wave,0.013163480114392855,0.21526225715845518,1.6327945868117113,9077,negative,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
student teacher ratio at age 17,student_teacher_ratio_at_17,birth_aimag + wave,0.013497822400610178,0.17156234981036234,2.003833116034104,9077,negative,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
student teacher ratio at age 17,student_teacher_ratio_at_17,region + wave,0.016204598073262952,0.09000768806469393,3.1587733021550517,9077,negative,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
teachers per student at age 12,teachers_per_student_at_12,birth_aimag + birth_cohort + wave,-18.624936809843643,0.029510434361686346,5.455061266641614,5641,positive,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
teachers per student at age 12,teachers_per_student_at_12,birth_aimag + birth_year + wave,-13.639707791085304,0.10017684848508589,2.957665651811893,5641,positive,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
teachers per student at age 12,teachers_per_student_at_12,birth_aimag + wave,-18.904221328276606,0.006107015715170411,9.292355319979906,5641,positive,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
teachers per student at age 12,teachers_per_student_at_12,region + wave,-23.964620465931283,0.0025826450573758937,11.686926749613955,5641,positive,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
